,GPt,PPG,PTt,ASt,Wt,Lt,GP3,W3,S3,L3,PT3,BP3,SM3,AS3,GP4,W4,S4,T4,L4,PT4,BP4,SM4,AS4
AK,55,0.6,33,76.07,20,14,33,16,7,10,22,0,11,76.15,22,4,6,8,4,11,1,8,75.95
JK,8,0.5,4,70.12,2,3,3,0,1,2,-2,0,0,99.0,5,2,1,1,1,6,1,0,52.8
BS,37,0.38,14,81.32,9,12,20,5,7,8,2,0,5,88.95,17,4,8,1,4,12,0,5,72.35
GB,52,0.33,17,81.23,17,18,30,10,10,10,11,1,10,81.73,22,7,1,6,8,6,0,8,80.55
TK,29,0.31,9,79.83,5,6,13,2,8,3,1,0,2,76.85,16,3,5,5,3,8,0,2,82.25
OB,1,3.0,3,45.0,1,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,3,0,1,45.0
AB,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
DB,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
PB,1,0.0,0,100.0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,0,0,0,0,100.0
FC,4,-0.25,-1,90.5,1,2,0,0,0,0,0,0,0,0.0,4,1,0,1,2,-1,0,0,90.5
